person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,Income_Category,Credit_Burden_Percent
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,Low,12.73
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,Medium,50.0
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,Low,35.12
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,Low,17.36
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,High,26.67
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,High,32.68
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,High,7.92
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,High,2.6
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,Low,20.83
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,Medium,62.5
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,Medium,46.88
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,High,40.0
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,Medium,48.35
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,Low,20.83
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,High,6.67
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,High,8.08
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,High,3.33
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,High,8.33
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,High,6.0
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,High,37.18
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,Medium,45.25
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,High,33.7
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,High,38.46
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,High,32.61
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,High,30.93
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,High,25.0
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,High,3.57
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,High,7.22
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,High,23.44
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,High,22.9
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,High,4.36
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,High,11.27
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,Medium,41.57
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,Low,12.5
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,High,10.77
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,High,7.72
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,High,3.76
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,High,10.0
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,Low,25.0
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,Medium,43.08
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,High,32.94
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,Low,50.83
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,High,31.82
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,Low,35.0
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,Low,39.58
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,High,33.73
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,High,7.2
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,High,28.0
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,High,25.45
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,High,18.52
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,Low,27.08
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,Medium,39.29
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,High,36.95
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,High,32.53
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,Medium,41.6
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,High,21.33
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,Low,12.94
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,Medium,42.46
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,High,8.55
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,High,8.55
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,High,9.23
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,High,5.38
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,High,10.75
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,High,15.22
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,High,30.48
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,Low,13.89
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,Medium,58.82
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,Low,23.41
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,Low,28.16
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,High,8.85
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,High,13.33
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,High,16.43
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,Low,34.72
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,Low,18.47
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,Medium,59.52
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,Medium,52.08
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,Low,27.7
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,Medium,59.02
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,Medium,51.02
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,High,11.11
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,High,1.33
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,High,3.33
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,High,11.11
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,Medium,50.54
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,Medium,50.0
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,Medium,50.0
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,Medium,56.82
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,Medium,50.0
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,Medium,50.0
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,Medium,50.0
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,Medium,48.08
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,Low,37.5
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,High,11.36
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,High,9.72
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,High,11.57
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,High,9.26
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,High,16.28
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,High,5.58
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,Medium,48.08
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,Medium,54.35
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,Medium,47.17
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,Medium,53.19
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,Medium,53.19
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,Low,10.61
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,Low,34.09
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,High,7.62
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,High,10.48
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,Medium,52.08
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,Medium,45.45
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,Medium,45.45
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,Medium,45.32
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,Medium,44.64
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,High,9.83
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,High,11.58
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,Low,55.68
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,Medium,41.67
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,Medium,41.67
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,Medium,46.3
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,High,6.0
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,High,6.0
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,High,8.0
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,Medium,46.3
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,Medium,41.67
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,Medium,41.67
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,Medium,41.67
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,Medium,40.35
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,Medium,44.33
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,High,12.5
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,High,12.0
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,High,7.5
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,High,7.75
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,High,5.0
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,Medium,37.88
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,Medium,37.88
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,High,4.5
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,High,9.0
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,High,6.0
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,High,11.52
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,Medium,37.32
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,Medium,37.31
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,Medium,37.31
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,Medium,36.76
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,Medium,36.23
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,High,6.0
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,High,10.64
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,High,1.5
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,Medium,35.72
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,Low,27.78
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,Medium,35.71
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,Low,41.67
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,Medium,44.56
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,Medium,37.88
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,Medium,37.88
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,Low,37.33
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,High,34.43
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,High,33.78
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,High,33.33
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,High,5.24
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,High,33.33
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,High,35.21
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,High,10.53
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,High,12.63
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,High,32.05
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,High,31.85
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,High,5.38
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,High,8.11
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,Medium,40.29
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,High,31.48
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,Low,43.4
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,High,31.39
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,High,31.39
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,High,31.25
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,High,31.25
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,High,13.51
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,High,2.7
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,High,11.89
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,High,1.36
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,High,11.63
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,High,10.93
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,High,8.2
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,High,33.78
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,High,30.86
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,High,30.64
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,High,30.49
24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,High,30.12
24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,High,30.12
24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,High,10.0
23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3,High,15.56
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,Low,27.78
22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,Low,14.58
22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,High,29.59
24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,High,29.41
24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,High,7.78
26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,High,6.67
25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4,High,7.0
24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,High,28.74
24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,High,33.33
23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,High,32.89
23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2,Medium,37.76
25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4,High,27.78
21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,Low,41.33
26,180000,OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,N,4,High,13.89
24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3,High,11.67
25,180000,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,Y,4,High,11.11
26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4,High,5.56
25,180000,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,N,2,High,5.53
23,78000,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,Y,3,High,32.05
25,66300,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,Y,4,Medium,37.71
23,90000,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,N,3,High,27.78
24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4,High,31.65
24,91800,RENT,4.0,PERSONAL,C,25000,13.43,0,0.27,Y,3,High,27.23
25,92000,RENT,6.0,HOMEIMPROVEMENT,B,25000,12.69,0,0.27,N,3,High,27.17
24,92000,RENT,1.0,VENTURE,C,25000,12.73,0,0.27,Y,4,High,27.17
23,93600,RENT,3.0,VENTURE,D,25000,15.21,0,0.27,N,4,High,26.71
23,15000,MORTGAGE,1.0,MEDICAL,C,1750,12.68,0,0.12,Y,3,Low,11.67
23,70550,RENT,3.0,MEDICAL,F,25000,19.04,1,0.3,Y,4,High,35.44
25,83800,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.95,1,0.3,Y,3,High,29.83
26,175000,MORTGAGE,3.0,VENTURE,A,2600,8.9,0,0.01,N,4,High,1.49
25,175000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000,7.9,0,0.05,N,2,High,4.57
23,175000,MORTGAGE,8.0,PERSONAL,B,21000,11.99,0,0.12,N,3,High,12.0
23,15000,OWN,4.0,DEBTCONSOLIDATION,C,4000,13.98,1,0.27,N,4,Low,26.67
23,15000,OWN,4.0,VENTURE,B,4600,10.99,1,0.31,N,2,Low,30.67
22,88000,RENT,6.0,DEBTCONSOLIDATION,D,25000,15.58,1,0.28,Y,2,High,28.41
25,74800,RENT,2.0,MEDICAL,B,25000,10.99,1,0.28,N,2,High,33.42
25,88000,RENT,0.0,VENTURE,D,25000,14.96,1,0.28,N,4,High,28.41
25,15000,OWN,2.0,HOMEIMPROVEMENT,D,1750,15.31,0,0.12,Y,4,Low,11.67
26,88000,RENT,2.0,VENTURE,D,25000,15.65,1,0.28,N,3,High,28.41
25,100000,RENT,1.0,VENTURE,B,25000,9.33,0,0.25,N,4,High,25.0
23,15000,MORTGAGE,0.0,PERSONAL,C,3600,13.47,1,0.24,N,4,Low,24.0
24,102400,RENT,8.0,PERSONAL,B,25000,10.36,0,0.24,N,3,High,24.41
24,92000,RENT,1.0,HOMEIMPROVEMENT,E,25000,16.77,1,0.27,Y,4,High,27.17
23,93000,RENT,0.0,DEBTCONSOLIDATION,D,25000,14.59,1,0.27,Y,2,High,26.88
22,175000,RENT,6.0,VENTURE,C,3500,11.91,0,0.02,Y,2,High,2.0
23,175000,MORTGAGE,3.0,EDUCATION,A,7200,8.38,0,0.04,N,3,High,4.11
25,174708,RENT,9.0,VENTURE,B,9000,10.59,0,0.05,N,3,High,5.15
25,174000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,8800,14.27,0,0.05,N,3,High,5.06
26,174000,RENT,8.0,DEBTCONSOLIDATION,B,12000,12.53,0,0.07,N,4,High,6.9
25,162000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,25000,16.0,1,0.15,Y,3,High,15.43
26,173467,MORTGAGE,10.0,VENTURE,B,10000,11.71,0,0.06,N,4,High,5.76
21,15000,OWN,0.0,HOMEIMPROVEMENT,C,3175,11.54,1,0.21,Y,3,Low,21.17
25,96000,RENT,2.0,HOMEIMPROVEMENT,E,25000,15.68,1,0.26,Y,4,High,26.04
21,15120,MORTGAGE,0.0,EDUCATION,B,1500,10.59,0,0.1,N,2,Low,9.92
24,97908,RENT,8.0,HOMEIMPROVEMENT,D,25000,12.61,1,0.26,Y,2,High,25.53
23,15204,MORTGAGE,7.0,PERSONAL,A,2800,8.49,1,0.18,N,3,Low,18.42
25,159600,RENT,0.0,PERSONAL,D,30000,17.27,1,0.19,Y,4,High,18.8
24,171500,RENT,6.0,DEBTCONSOLIDATION,A,18000,8.9,0,0.1,N,4,High,10.5
25,170004,MORTGAGE,3.0,MEDICAL,B,10000,11.11,0,0.06,N,4,High,5.88
24,158004,RENT,0.0,HOMEIMPROVEMENT,D,25000,14.59,1,0.16,Y,2,High,15.82
26,170000,RENT,0.0,VENTURE,B,13000,12.42,0,0.08,N,3,High,7.65
24,110000,RENT,7.0,HOMEIMPROVEMENT,D,25000,15.7,0,0.23,Y,2,High,22.73
22,15360,OWN,7.0,HOMEIMPROVEMENT,B,2500,12.53,1,0.16,N,3,Low,16.28
25,134300,RENT,3.0,MEDICAL,D,5000,16.49,1,0.03,N,2,High,3.72
25,170000,MORTGAGE,2.0,EDUCATION,A,20000,7.49,0,0.12,N,2,High,11.76
22,100580,RENT,6.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.25,Y,2,High,24.86
25,113000,RENT,7.0,MEDICAL,C,25000,12.73,0,0.22,Y,4,High,22.12
24,120000,RENT,8.0,EDUCATION,B,25000,10.65,0,0.21,N,4,High,20.83
25,120000,RENT,6.0,MEDICAL,B,25000,10.74,0,0.21,N,2,High,20.83
23,120000,RENT,7.0,EDUCATION,B,25000,9.99,0,0.21,N,2,High,20.83
